d,f,46,9.622223151905619E-4
d,d,4120,0.08618165083880684
d,c,91,0.0019035267539639375
d,b,57,0.0011923189557796093
d,a,5971,0.12490064008701837
s,ns,23,0.006013071895424837
s,nr,1,2.6143790849673205E-4
b,a,97,0.011135346114108598
b,b,145,0.01664562047985306
na,w,1,1.0
b,i,4,4.591895304787051E-4
b,j,55,0.006313856044082195
Ag,ns,1,0.0031746031746031746
a,vd,3,8.746355685131195E-5
Ag,nr,2,0.006349206349206349
b,f,80,0.009183790609574102
b,c,39,0.004477097922167375
b,d,17,0.0019515555045344966
a,vn,2267,0.0660932944606414
k,Ag,1,0.0010787486515641855
Ng,Ag,12,0.0026595744680851063
s,nz,6,0.001568627450980392
b,vn,806,0.09252669039145907
s,nx,1,2.6143790849673205E-4
v,nt,369,0.002004356351745528
v,ns,5051,0.027436325020776864
v,nr,1299,0.007055986181348079
nx,vn,16,0.034858387799564274
an,nr,2,7.140307033202428E-4
an,ns,2,7.140307033202428E-4
an,nt,1,3.570153516601214E-4
nz,Vg,3,8.123476848090983E-4
b,l,47,0.0053954769831247845
b,n,5541,0.6360922970956262
b,m,71,0.008150614165997015
b,p,17,0.0019515555045344966
b,r,25,0.002869934565491907
b,q,3,3.443921478590288E-4
b,t,6,6.887842957180576E-4
d,z,53,0.0011086474501108647
d,y,8,1.6734301133748903E-4
b,s,19,0.0021811502697738493
b,v,123,0.014120078062220182
b,u,818,0.09390425898289519
b,w,588,0.06750086098036964
b,z,3,3.443921478590288E-4
b,y,5,5.739869130983814E-4
d,q,15,3.137681462577919E-4
d,r,295,0.006170773543069908
d,s,8,1.6734301133748903E-4
d,t,77,0.0016106764841233318
d,u,309,0.006463623812910513
d,v,29840,0.6241894322888341
d,w,509,0.010647199096347738
z,Vg,4,0.002898550724637681
d,i,436,0.009120194117893152
d,j,18,3.765217755093503E-4
d,k,1,2.0917876417186128E-5
d,l,288,0.006024348408149605
d,m,791,0.016546040245994226
d,n,312,0.006526377442162072
d,o,4,8.367150566874451E-5
d,p,3525,0.0737355143705811
m,ns,222,0.00540487899888007
m,nr,27,6.57350148512441E-4
q,ad,47,0.001946250362333844
ns,ad,103,0.0037035705296465425
w,Ng,310,0.0019617149185255497
m,nz,54,0.001314700297024882
m,nx,6,1.4607781078054244E-4
i,Ng,6,0.00120312813314618
ns,an,28,0.0010067958721369243
nr,Ng,38,0.001103688643624746
z,w,267,0.1934782608695652
z,y,3,0.002173913043478261
z,z,9,0.006521739130434782
z,s,4,0.002898550724637681
z,t,3,0.002173913043478261
z,u,402,0.29130434782608694
d,vn,37,7.739614274358867E-4
z,v,200,0.14492753623188406
z,r,1,7.246376811594203E-4
z,p,16,0.011594202898550725
z,n,307,0.22246376811594204
z,m,46,0.03333333333333333
z,l,3,0.002173913043478261
z,i,7,0.005072463768115942
z,f,5,0.0036231884057971015
Vg,Ng,52,0.029988465974625143
z,d,19,0.013768115942028985
i,Mg,1,2.0052135552436334E-4
z,c,18,0.013043478260869565
p,Vg,32,8.015831266751835E-4
z,a,46,0.03333333333333333
z,b,2,0.0014492753623188406
w,Mg,2,1.2656225280809998E-5
j,an,5,4.856254856254856E-4
n,an,441,0.001874880428544098
v,nz,403,0.002189039592827772
u,na,1,1.3368626507312639E-5
v,nx,62,3.367753219735034E-4
n,ad,1357,0.005769189890100546
f,vd,12,6.986899563318777E-4
Tg,ad,2,0.00408997955010225
j,ad,39,0.003787878787878788
f,vn,169,0.009839883551673945
u,nt,152,0.002032031229111521
u,ns,1822,0.024357637496323626
u,nr,729,0.009745728723830914
an,i,7,0.0024991074616208496
u,nx,55,7.352744579021952E-4
an,l,3,0.0010710460549803642
u,nz,290,0.0038769016871206654
an,m,13,0.0046411995715815784
an,n,265,0.09460906818993217
an,a,10,0.003570153516601214
an,c,231,0.08247054623348804
an,d,112,0.039985719385933594
d,vd,35,7.321256746015144E-4
an,f,39,0.013923598714744734
an,y,7,0.0024991074616208496
an,z,2,7.140307033202428E-4
p,Tg,41,0.0010270283810525787
an,q,1,3.570153516601214E-4
an,p,24,0.008568368439842914
an,r,5,0.001785076758300607
an,u,169,0.06033559443056052
c,Dg,4,1.56998194520763E-4
an,w,1373,0.49018207782934664
an,v,257,0.0917529453766512
nz,a,34,0.009206607094503114
nz,b,33,0.008935824532900082
nz,c,39,0.010560519902518278
i,Ag,1,2.0052135552436334E-4
