nt,1085,0.009124624713015835
ns,6169,0.05188000908257575
nr,4721,0.03970262974207167
nz,534,0.004490829121428992
nx,42,3.532112792135162E-4
vn,1071,0.009006887619944663
Ag,17,1.429664701578518E-4
Ng,91,7.652911049626184E-4
vd,54,4.541287875602351E-4
f,569,0.004785171854106922
d,10498,0.0882860002186546
e,11,9.250771598449234E-5
Rg,1,8.409792362226577E-6
b,638,0.005365447527100556
c,8621,0.07250081995475531
a,1686,0.014178909922714008
n,14145,0.11895651296369493
o,9,7.568813126003919E-5
Vg,149,0.00125305906197176
l,1037,0.00872095467962896
m,4593,0.03862617631970667
j,1370,0.01152141553625041
h,3,2.522937708667973E-5
i,949,0.007980892951753022
Tg,60,5.045875417335946E-4
w,4198,0.03530430833662717
v,24362,0.20487936152856387
u,91,7.652911049626184E-4
t,5069,0.04262923748412652
s,454,0.003818045732450866
r,12757,0.10728372116492443
q,113,9.503065369316032E-4
an,30,2.522937708667973E-4
p,11949,0.10048860893624537
Dg,26,2.18654601417891E-4
ad,1526,0.012833343144757757
z,209,0.0017576466037053544
y,2,1.6819584724453155E-5
